"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"film to affirm love 's power to [[help]] people endure almost unimaginable horror ","film to affirm love 's power to [[aids]] people endure almost unimaginable horror ",0.18062764406204224,0.5490937232971191,1,0,1,55,"Successful"
"are an absolute [[joy]] ","are an absolute [[gaiety]] ",0.18821537494659424,0.736632227897644,1,0,1,50,"Successful"
"[[generates]] ","[[product]] ",0.3665419816970825,0.5363893508911133,1,0,1,48,"Successful"
", like life , is n't much [[fun]] without the highs and lows ",", like life , is n't much [[joke]] without the highs and lows ",0.17275714874267578,0.9253759384155273,1,0,1,55,"Successful"
"based on a [[true]] and [[historically]] significant story ","based on a [[exact]] and [[normally]] significant story ",0.03330111503601074,0.6588950157165527,1,0,1,51,"Successful"
"well-rounded [[tribute]] ","well-rounded [[glorifying]] ",0.1524941325187683,0.3418993353843689,1,1,1,53,"Failed"
", though many of the actors throw off a [[spark]] or two when they first appear , they ca n't [[generate]] enough heat in this [[cold]] [[vacuum]] of a comedy to start a reaction . ",", though many of the actors throw off a [[sparks]] or two when they first appear , they ca n't [[brings]] enough heat in this [[cool]] [[empties]] of a comedy to start a reaction . ",0.030292630195617676,0.5595541000366211,0,1,0,102,"Successful"
"so much like a young [[robert]] deniro ","so much like a young [[roberto]] deniro ",0.10466945171356201,0.5958696007728577,1,0,1,14,"Successful"
"khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling [[family]] [[intensity]] on one continuum . ","khouri manages , with terrific flair , to keep the extremes of screwball farce and blood-curdling [[familia]] [[weightlessness]] on one continuum . ",0.07196670770645142,0.5259748697280884,1,0,1,60,"Successful"
"fashioning an [[engrossing]] entertainment out ","fashioning an [[denouement]] entertainment out ",0.0803341269493103,0.5724349021911621,1,0,1,31,"Successful"
"spiffy [[animated]] [[feature]] ","spiffy [[liven]] [[function]] ",0.164306640625,0.6779729723930359,1,0,1,73,"Successful"
"that 's so sloppily written and cast that you can not believe anyone more [[central]] to the creation of [[bugsy]] than the [[caterer]] ","that 's so sloppily written and cast that you can not believe anyone more [[important]] to the creation of [[capone]] than the [[catering]] ",0.06877923011779785,0.5965667366981506,0,1,0,45,"Successful"
"alternating between facetious [[comic]] parody and pulp melodrama , this smart-aleck movie ... tosses around some [[intriguing]] questions about the difference between [[human]] and android life ","alternating between facetious [[comical]] parody and pulp melodrama , this smart-aleck movie ... tosses around some [[baffling]] questions about the difference between [[humanistic]] and android life ",0.021100223064422607,0.6030866503715515,1,0,1,79,"Successful"
"strung-together moments ","strung-together moments ",0.7566169500350952,0.7566169500350952,1,1,0,1,"Skipped"
", [[generous]] and [[subversive]] [[artworks]] ",", [[altruistic]] and [[disastrous]] [[mods]] ",0.03751945495605469,0.8359545469284058,1,0,1,51,"Successful"
"it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ","it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",0.8431079387664795,0.8431079387664795,0,0,1,1,"Skipped"
"[[funny]] yet ","[[weird]] yet ",0.10659950971603394,0.5128681659698486,1,0,1,39,"Successful"
"[[overbearing]] and over-the-top ","[[cheeky]] and over-the-top ",0.20614027976989746,0.5532346963882446,0,1,0,25,"Successful"
"it 's [[robert]] [[duvall]] ! ","it 's [[cynthia]] [[costner]] ! ",0.04555189609527588,0.43027472496032715,1,1,1,49,"Failed"
"[[rich]] and [[sudden]] [[wisdom]] ","[[tributary]] and [[hurried]] [[prudent]] ",0.02980518341064453,0.8120631575584412,1,0,1,80,"Successful"
"acted and directed , it 's clear that washington most [[certainly]] has a new [[career]] [[ahead]] of him ","acted and directed , it 's clear that washington most [[blatantly]] has a new [[occupations]] [[impatiently]] of him ",0.0216333270072937,0.5708812475204468,1,0,1,70,"Successful"
"in [[memory]] ","in [[flashbacks]] ",0.2943400740623474,0.5299915075302124,1,0,1,30,"Successful"
"[[respectable]] [[new]] one ","[[presentable]] [[latest]] one ",0.2522051930427551,0.5375314950942993,1,0,1,37,"Successful"
"yet this [[grating]] showcase ","yet this [[grill]] showcase ",0.4845638871192932,0.8187663555145264,0,1,0,15,"Successful"
"hate to tear your [[eyes]] away from the images long enough to [[read]] the subtitles ","hate to tear your [[eyeballs]] away from the images long enough to [[leer]] the subtitles ",0.04840075969696045,0.6235102415084839,1,0,1,46,"Successful"
"addition to sporting one of the [[worst]] titles in recent cinematic history ","addition to sporting one of the [[finest]] titles in recent cinematic history ",0.13460201025009155,0.9722909331321716,0,1,0,46,"Successful"
", this gender-bending comedy is generally quite [[funny]] . ",", this gender-bending comedy is generally quite [[weird]] . ",0.04456144571304321,0.7044930458068848,1,0,1,38,"Successful"
"build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the [[worst]] -- and only -- killer website movie of this or any other year ","build some robots , haul 'em to the theater with you for the late show , and put on your own mystery science theatre 3000 tribute to what is almost certainly going to go down as the [[greatest]] -- and only -- killer website movie of this or any other year ",0.3339007496833801,0.5344322919845581,0,1,0,29,"Successful"
"[[do]] n't work in concert ","[[accomplished]] n't work in concert ",0.2570064663887024,0.6063241958618164,0,1,0,31,"Successful"
"the direction has a [[fluid]] , no-nonsense authority , and the [[performances]] by harris , phifer and [[cam]] ` [[ron]] [[seal]] the [[deal]] . ","the direction has a [[liquids]] , no-nonsense authority , and the [[interpreting]] by harris , phifer and [[camshaft]] ` [[ronald]] [[sealing]] the [[handle]] . ",0.03597325086593628,0.5218824148178101,1,0,1,94,"Successful"
"would have liked it more if it had just gone that one step further ","would have liked it more if it had just gone that one step further ",0.8693452477455139,0.8693452477455139,0,0,1,1,"Skipped"
"it 's too [[harsh]] to work as a piece of storytelling , ","it 's too [[intense]] to work as a piece of storytelling , ",0.29184651374816895,0.7715194225311279,0,1,0,51,"Successful"
"[[hawaiian]] shirt ","[[polynesian]] shirt ",0.456210732460022,0.5107693076133728,1,0,1,5,"Successful"
"takes a [[classic]] story , casts attractive and talented actors and uses a [[magnificent]] [[landscape]] to [[create]] a feature [[film]] that is [[wickedly]] [[fun]] to watch . ","takes a [[routine]] story , casts attractive and talented actors and uses a [[unbelievable]] [[beautification]] to [[manufactured]] a feature [[filming]] that is [[brutally]] [[jest]] to watch . ",0.015893638134002686,0.5052069425582886,1,0,1,244,"Successful"
"[[provide]] its keenest [[pleasures]] ","[[render]] its keenest [[indulging]] ",0.0712166428565979,0.5150049924850464,1,0,1,97,"Successful"
"[[altogether]] too slight to be [[called]] any kind of masterpiece ","[[perfectly]] too slight to be [[inviting]] any kind of masterpiece ",0.06903213262557983,0.7053593993186951,0,1,0,98,"Successful"
"[[grievous]] but ","[[enormous]] but ",0.40322262048721313,0.8182841539382935,0,1,0,22,"Successful"
"after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your [[car]] in the [[parking]] lot . ","after you laugh once ( maybe twice ) , you will have completely forgotten the movie by the time you get back to your [[motorcars]] in the [[park]] lot . ",0.21029531955718994,0.5208917856216431,0,1,0,34,"Successful"
"[[hopeless]] ","[[sorrowful]] ",0.30139875411987305,0.6731773614883423,0,1,0,41,"Successful"
"unpretentious , [[charming]] , [[quirky]] , original ","unpretentious , [[leggy]] , [[weird]] , original ",0.018926620483398438,0.5950289964675903,1,0,1,56,"Successful"
"nicks and steinberg match their own creations for pure venality -- that 's giving it the old [[college]] try . ","nicks and steinberg match their own creations for pure venality -- that 's giving it the old [[collegiate]] try . ",0.2914409637451172,0.6642010807991028,0,1,0,34,"Successful"
"[[very]] well-written and [[very]] well-acted . ","[[too]] well-written and [[too]] well-acted . ",0.11833524703979492,0.9035291075706482,1,0,1,96,"Successful"
"are n't many [[conclusive]] answers in the film ","are n't many [[powerful]] answers in the film ",0.20316660404205322,0.8396722078323364,0,1,0,34,"Successful"
"[[clumsy]] dialogue , heavy-handed phoney-feeling [[sentiment]] , ","[[delicate]] dialogue , heavy-handed phoney-feeling [[spirit]] , ",0.023817121982574463,0.7411298155784607,0,1,0,73,"Successful"
"proves a lovely trifle that , [[unfortunately]] , is a [[little]] too in love with its own cuteness . ","proves a lovely trifle that , [[frighteningly]] , is a [[tiny]] too in love with its own cuteness . ",0.2043914794921875,0.5322005748748779,0,1,0,52,"Successful"
"[[bring]] tissues . ","[[wear]] tissues . ",0.16198426485061646,0.5132399201393127,1,0,1,50,"Successful"
"the film 's mid-to-low [[budget]] is betrayed by the surprisingly [[shoddy]] [[makeup]] work . ","the film 's mid-to-low [[budgeted]] is betrayed by the surprisingly [[fuzzy]] [[composition]] work . ",0.05405843257904053,0.9446396827697754,0,1,0,42,"Successful"
"brings the proper conviction to his [[role]] as ( jason [[bourne]] ) . ","brings the proper conviction to his [[function]] as ( jason [[bourn]] ) . ",0.04795181751251221,0.7578102350234985,1,0,1,24,"Successful"
"as a young woman of [[great]] [[charm]] , [[generosity]] and [[diplomacy]] ","as a young woman of [[gargantuan]] [[temptation]] , [[indulgence]] and [[foreigner]] ",0.013120055198669434,0.7738017439842224,1,0,1,128,"Successful"
"there 's something [[poignant]] about an [[artist]] of 90-plus years taking the effort to share his impressions of [[life]] and loss and time and [[art]] with us . ","there 's something [[depressing]] about an [[artiste]] of 90-plus years taking the effort to share his impressions of [[lifespan]] and loss and time and [[artsy]] with us . ",0.017384052276611328,0.5297377705574036,1,0,1,92,"Successful"
"just too silly ","just too silly ",0.028847098350524902,0.028847098350524902,0,0,0,2,"Failed"
"[[cinematic]] [[bon]] [[bons]] ","[[theatrical]] [[bun]] [[dois]] ",0.18711251020431519,0.5759968757629395,1,0,1,37,"Successful"
"it is supremely [[unfunny]] and unentertaining to watch middle-age and ","it is supremely [[hilarious]] and unentertaining to watch middle-age and ",0.11472839117050171,0.9136128425598145,0,1,0,53,"Successful"
"a lively and [[engaging]] examination of how similar obsessions can dominate a [[family]] . ","a lively and [[perpetrating]] examination of how similar obsessions can dominate a [[habitation]] . ",0.041586101055145264,0.6347370147705078,1,0,1,56,"Successful"
"irritates and ","irritates and ",0.5250577330589294,0.5250577330589294,1,1,0,1,"Skipped"
"[[collapse]] ","[[autumn]] ",0.40417414903640747,0.7209116220474243,0,1,0,51,"Successful"
"so many of the challenges it poses for itself that one can forgive the [[film]] its flaws ","so many of the challenges it poses for itself that one can forgive the [[movie]] its flaws ",0.38346928358078003,0.5586854219436646,1,0,1,30,"Successful"
", it [[serves]] as a workable primer for the region 's recent history , and would make a [[terrific]] 10th-grade [[learning]] tool . ",", it [[serving]] as a workable primer for the region 's recent history , and would make a [[unbelievable]] 10th-grade [[school]] tool . ",0.02147841453552246,0.5042979717254639,1,0,1,110,"Successful"
"wide-awake all the way through ","wide-awake all the way through ",0.6094708442687988,0.6094708442687988,0,0,1,1,"Skipped"
"( vainly , i [[think]] ) ","( vainly , i [[seeing]] ) ",0.29307669401168823,0.8588951826095581,0,1,0,52,"Successful"
"is one big [[excuse]] to play one [[lewd]] scene after another . ","is one big [[forgiveness]] to play one [[saucy]] scene after another . ",0.044229328632354736,0.5688409805297852,0,1,0,68,"Successful"
"is [[effective]] if you [[stick]] with it ","is [[viable]] if you [[caning]] with it ",0.112362802028656,0.27429014444351196,1,1,1,37,"Failed"
"that underscore the [[importance]] of family [[tradition]] and familial [[community]] ","that underscore the [[essentials]] of family [[routine]] and familial [[collective]] ",0.021215617656707764,0.7435860633850098,1,0,1,67,"Successful"
"[[delivers]] what it promises : a look at the `` wild ride '' that ensues when brash young men set out to [[conquer]] the online [[world]] with laptops , cell phones and sketchy business plans ","[[suggests]] what it promises : a look at the `` wild ride '' that ensues when brash young men set out to [[conquering]] the online [[universe]] with laptops , cell phones and sketchy business plans ",0.15857148170471191,0.5844295024871826,1,0,1,141,"Successful"
"[[watching]] this digital-effects-heavy , [[supposed]] family-friendly comedy ","[[behold]] this digital-effects-heavy , [[doubted]] family-friendly comedy ",0.12869781255722046,0.7233317494392395,0,1,0,64,"Successful"
"absolutely and completely [[ridiculous]] and ","absolutely and completely [[ironic]] and ",0.12893915176391602,0.7463059425354004,0,1,0,39,"Successful"
"'s a very [[tasteful]] rock and [[roll]] movie . ","'s a very [[ladylike]] rock and [[slippery]] movie . ",0.04680073261260986,0.8346253633499146,1,0,1,57,"Successful"
"the movie is almost completely [[lacking]] in suspense , surprise and consistent emotional conviction . ","the movie is almost completely [[rarity]] in suspense , surprise and consistent emotional conviction . ",0.3152448534965515,0.8797511458396912,0,1,0,45,"Successful"
"[[realistic]] [[portrayal]] ","[[reachable]] [[spitting]] ",0.06524014472961426,0.6373005509376526,1,0,1,70,"Successful"
"as if [[trying]] to grab a lump of play-doh , the [[harder]] that liman [[tries]] to squeeze his story ","as if [[appealing]] to grab a lump of play-doh , the [[finer]] that liman [[sought]] to squeeze his story ",0.021483898162841797,0.7550106644630432,0,1,0,124,"Successful"
"well-thought stunts or ","well-thought stunts or ",0.7169164419174194,0.7169164419174194,0,0,1,1,"Skipped"
"[[reveals]] how [[important]] our special talents can be when put in [[service]] of of others . ","[[exposes]] how [[substantial]] our special talents can be when put in [[serving]] of of others . ",0.10608845949172974,0.5135515928268433,1,0,1,97,"Successful"
"no lika [[da]] ","no lika [[barrister]] ",0.09108692407608032,0.15832144021987915,0,0,0,12,"Failed"
"a [[welcome]] [[relief]] ","a [[contented]] [[reparations]] ",0.06811177730560303,0.6817928552627563,1,0,1,56,"Successful"
"the [[promise]] of digital filmmaking ","the [[newbie]] of digital filmmaking ",0.27637016773223877,0.6483670473098755,1,0,1,36,"Successful"
"just one that could easily wait for your [[pay]] per view [[dollar]] ","just one that could easily wait for your [[reward]] per view [[bucks]] ",0.02791011333465576,0.8240475654602051,0,1,0,66,"Successful"
"justify a theatrical [[simulation]] of the [[death]] camp of [[auschwitz]] ii-birkenau ","justify a theatrical [[fictional]] of the [[lives]] camp of [[holocaust]] ii-birkenau ",0.06627339124679565,0.8327265381813049,0,1,0,96,"Successful"
"[[extraordinary]] [[faith]] ","[[unpaid]] [[dogma]] ",0.0683029294013977,0.6576650142669678,1,0,1,55,"Successful"
